product,fact,value,numeric,unit,source_url,retrieved_at
swipey,pricing_tier,"Premium (1-month): ""$7.99 / month"", cancel anytime. Unlocks unlimited NSFW chat with no message caps and no filters, character-consistent NSFW image generation, real-time voice calls and voice messages, custom video scenes up to 60 seconds, full Verified Creator Model access, one included Fanclub subscription, 100+ roleplay scenarios with persistent plot memory, full relationship progression, free daily hearts, persistent memory across sessions and devices, and 24/7 Discord and email support.",7.99,USD/month,https://swipey.ai/pricing,2026-09-03
swipey,pricing_tier,"Premium (3-month): plan exists but NO price is published. The FAQ states Swipey offers ""three Premium plans: 1-month, 3-month, and yearly"" and that ""Current pricing for each plan is always shown on the Premium page before you pay"" — i.e. behind login/checkout. The public /pricing page shows only the $7.99/month figure. Price NOT established.",,,https://swipey.ai/faq/hearts-billing/what-premium-plans-does-swipey-ai-offer,2026-09-03
swipey,pricing_tier,"Premium (yearly/annual): plan exists but NO price is published. FAQ confirms a yearly plan; Terms of Service confirms ""Subscriptions are offered on a monthly or annual basis, payable by the payment methods presented at checkout."" No annual figure or per-month equivalent appears on any public page. Price NOT established.",,,https://swipey.ai/faq/hearts-billing/what-premium-plans-does-swipey-ai-offer,2026-09-03
swipey,pricing_tier,"Hearts (consumable in-app currency, sold separately from subscription): ""Hearts are the currency of Swipey AI. You spend Hearts on the experiences that go beyond chatting: voice calls, extending video scenes, live actions in Play With Me, unlocking creator content, and tipping."" No Heart pack prices are published on any public page. Price NOT established.",,,https://swipey.ai/faq/hearts-billing/what-are-hearts-on-swipey-ai,2026-09-03
swipey,pricing_tier,"Fan Club membership: ""every Swipey AI Premium plan includes one free Fan Club membership""; additional Fan Club memberships beyond that one must be purchased separately with real money. No price for additional memberships is published. Price NOT established.",,,https://swipey.ai/faq/hearts-billing/does-premium-include-a-fan-club,2026-09-03
swipey,free_tier,"A free tier exists and requires no credit card. Per the pricing page it allows: creating one AI character; browsing the gallery (Platform Models and Verified Creator Models); ""Basic chat with platform characters""; and access to the TikTok-style explore feed. It excludes NSFW chat, image generation, voice calls, video features, Fanclub access, and daily hearts. The page states the free tier is ""intentionally limited: it's built to let you see the platform, not to be the full experience.""",,,https://swipey.ai/pricing,2026-09-03
swipey,free_tier,"Terms of Service states a hard free message cap, quoted verbatim: ""Upon registration, you may exchange up to five (10) messages without payment."" NOTE: the clause is internally inconsistent — the written word says ""five"" while the numeral says ""10"". This cap is not disclosed on the marketing pricing page, which describes free chat only qualitatively as ""Basic chat with platform characters"".",10,"messages (free, lifetime per registration; ToS wording self-contradictory: 'five (10)')",https://swipey.ai/terms-of-service,2026-09-03
swipey,modalities,"Text chat/roleplay (""Uncensored conversations with more than 100 pre-built roleplay scenarios""); real-time voice calls and voice messages; character-consistent image generation (""locks face and body across renders""); video scenes up to 60 seconds; plus a TikTok-style swipeable discovery/Explorer feed and always-on live rooms (""Play With Me Live"" / ""Live AI Girls""). Homepage self-describes as ""AI Girlfriend Platform | Chat, Voice & NSFW"".",,,https://swipey.ai/,2026-09-03
swipey,modalities,"Voice calls are Premium-only: ""Premium members only, all companion types."" Billing is ""Billed per minute in Hearts — rate shown once before your first call"" (the actual per-minute rate is not published).",,,https://swipey.ai/faq/ai-features/how-do-voice-calls-work,2026-09-03
swipey,limits,"Paid subscription entitlement, verbatim from ToS: ""A paid Subscription provides unlimited access to the messaging system and an allocation of 200 Tokens per month"" — ""which may be used for extended features such as image generation, video generation, voice notes, Voice Calls, post unlock, and access to private live rooms with models."" So text messaging is uncapped on paid; all generative/voice/unlock features draw on the 200-token monthly allocation.",200,tokens/month (paid tier),https://swipey.ai/terms-of-service,2026-09-03
